actual,predicted
go down slowly,go down slowly
go down lower,go down low
drone descend now,dont descend now
lets start the mission take off on my mark,lets start the mission take off on my mark
drone lift and take off,dont lift and take off
drone take off 2 meters,drone take off 2 meters
drone take off straight up,drone take off straight up
please take off 1 meter,please take off quiet people
drone quickly take off upward,drone quickly take off upward
drone take off instantly,jumping off instantly
kindly take off 3 meters,kindly take off three meters
go backward 5m from current position,go backward 5 meter from current position
go down 5m from current position,go down 5 meter from current position
go forward 5m from current position,go down 5 meter from current position
move left 5m from current position,move left 5 meter from current position
move right 5m from current position,move right 5 meter from current position
stot at 2m from current position,stop at 2 meter from current position
take off 5m from current position,take off 5 meter from current position
take off 0m from current position,take off 5 meter from current position
go down 5m from current position,go down 5 meter from current position
move left 5m from current position,move left 5 meter from current position
move right 5m from current position,move right 5 meter from current position
move up 5 meter from current position,go up 5 meter from current position
move down 5 meter from current position,go down 5 meter from current position
stop 5 meter from current position,stop at 5 meter from current position
move left 5 meter from current position,go left 5 meter from current position
move right 5 meter from current position,go right 5 meter from current position
go backward 5 meter from current position,go backward 5 meter from current position
go forward 5 meter from current position,go forward 5 meter from current position
land 5 meter from current position,lan 5 meter from current position
take off 5 meter from current position,take off 5m from current position
ascend up 10 meter from current position,ascend up 10 meters from current position
ascend down 10 meter from current position,ascend down 10 meters from current position
go right 10 meter from current position,go right 10 meter from current position
go left 10 meter from current position,go left 10 meter from current position
please land 10 meter from current position,please land 10 meter from current position
please take off 10 meter from current position,please take off 10m from current position
go backward 10 meter from current position,go backward 10 metre from current position
please stop 10 meter from current position,please stop 10 metre from current position
please go forward 10 meter from current position,go forward 10 metre from current position
move up 5 meter from current position,go up 5 meter from current position
move down 5 meter from current position,go down 5 meter from current position
stop 5 meter from current position,stop at 5 meter from current position
move left 5 meter from current position,go left 5 meter from current position
move right 5 meter from current position,go right 5 meter from current position
go backward 5 meter from current position,go backward 5 meter from current position
go forward 5 meter from current position,go forward 5 meter from current position
land 5 meter from current position,lan 5 meter from current position
take off 5 meter from current position,take off 5m from current position
ascend up 10 meter from current position,ascend up 10 meters from current position
ascend down 10 meter from current position,ascend down 10 meters from current position
go right 10 meter from current position,go right 10 meter from current position
go left 10 meter from current position,go left 10 meter from current position
please land 10 meter from current position,please land 10 meter from current position
please take off 10 meter from current position,please take off 10m from current position
go backward 10 meter from current position,go backward 10 metre from current position
please stop 10 meter from current position,please stop 10 metre from current position
please go forward 10 meter from current position,go forward 10 metre from current position
move up 5 meter from current position,go up 5 meter from current position
move down 5 meter from current position,go down 5 meter from current position
stop 5 meter from current position,stop at 5 meter from current position
move left 5 meter from current position,go left 5 meter from current position
move right 5 meter from current position,go right 5 meter from current position
go backward 5 meter from current position,go backward 5 meter from current position
go forward 5 meter from current position,go forward 5 meter from current position
land 5 meter from current position,lan 5 meter from current position
take off 5 meter from current position,take off 5m from current position
ascend up 10 meter from current position,ascend up 10 meters from current position
ascend down 10 meter from current position,ascend down 10 meters from current position
go right 10 meter from current position,go right 10 meter from current position
go left 10 meter from current position,go left 10 meter from current position
please land 10 meter from current position,please land 10 meter from current position
please take off 10 meter from current position,please take off 10m from current position
go backward 10 meter from current position,go backward 10 metre from current position
please stop 10 meter from current position,please stop 10 metre from current position
please go forward 10 meter from current position,go forward 10 metre from current position
move up 5 meter from current position,go up 5 meter from current position
move down 5 meter from current position,go down 5 meter from current position
stop 5 meter from current position,stop at 5 meter from current position
move left 5 meter from current position,go left 5 meter from current position
move right 5 meter from current position,go right 5 meter from current position
go backward 5 meter from current position,go backward 5 meter from current position
go forward 5 meter from current position,go forward 5 meter from current position
land 5 meter from current position,lan 5 meter from current position
take off 5 meter from current position,take off 5m from current position
ascend up 10 meter from current position,ascend up 10 meters from current position
ascend down 10 meter from current position,ascend down 10 meters from current position
go right 10 meter from current position,go right 10 meter from current position
go left 10 meter from current position,go left 10 meter from current position
please land 10 meter from current position,please land 10 meter from current position
please take off 10 meter from current position,please take off 10m from current position
go backward 10 meter from current position,go backward 10 metre from current position
please stop 10 meter from current position,please stop 10 metre from current position
please go forward 10 meter from current position,go forward 10 metre from current position
move up 5 meter from current position,go up 5 meter from current position
move down 5 meter from current position,go down 5 meter from current position
stop 5 meter from current position,stop at 5 meter from current position
move left 5 meter from current position,go left 5 meter from current position
move right 5 meter from current position,go right 5 meter from current position
go backward 5 meter from current position,go backward 5 meter from current position
go forward 5 meter from current position,go forward 5 meter from current position
land 5 meter from current position,lan 5 meter from current position
take off 5 meter from current position,take off 5m from current position
ascend up 10 meter from current position,ascend up 10 meters from current position
ascend down 10 meter from current position,ascend down 10 meters from current position
go right 10 meter from current position,go right 10 meter from current position
go left 10 meter from current position,go left 10 meter from current position
please land 10 meter from current position,please land 10 meter from current position
please take off 10 meter from current position,please take off 10m from current position
go backward 10 meter from current position,go backward 10 metre from current position
please stop 10 meter from current position,please stop 10 metre from current position
please go forward 10 meter from current position,go forward 10 metre from current position
move up 5 meter from current position,go up 5 meter from current position
move down 5 meter from current position,go down 5 meter from current position
stop 5 meter from current position,stop at 5 meter from current position
move left 5 meter from current position,go left 5 meter from current position
move right 5 meter from current position,go right 5 meter from current position
go backward 5 meter from current position,go backward 5 meter from current position
go forward 5 meter from current position,go forward 5 meter from current position
land 5 meter from current position,lan 5 meter from current position
take off 5 meter from current position,take off 5m from current position
stop right there,stop right there
do not move,do not move
ascend up to 55 meters high,ascend up to 55 meters high
come down 40 meters straight,come down 40 meters straight
descend down by 60 meters,descend down by 60 meters
drone go left exactly 85 meters,drone go left exactly 85 meters
drone go right to 30 meters distance,drone go right to 30 meter distance
fly right 10 meters ahead,fly right 10 meters ahead
from here rise up to 35 meters,from here rise up to 35 meters
go up by 15 meters,go up by 15 meters
kindly move left for 45 meters,kindly move left from 45 meters
move down 80 meters quickly,move down 80 meters quickly
move left from the current position to 5 meters,move left from the current position to 5 meters
move towards the left 65 meters further,move towards the left 65 meters further
navigate right 50 meters away,navigate right 50 meters away
please descend down straight to 100 meters,please descend down straight to 100 meters
please move left 25 meters now,please move left 25 meters now
proceed straight up 75 meters,proceed straight up 75 meters
rise up from this point to 90 meters,rise up from this point to 90 meters
shift down exactly 20 meters,shift down exactly 20 meters
travel right for 95 meters distance,travel right for 95 meters distance
travel right up to 70 meters,travel right upto 70 meters
ascend up to 55 meters high,ascend up to 55 meters high
come down 40 meters straight,come down 40 meters straight
descend down by 60 meters,descend down by 60 meters
drone go left exactly 85 meters,drone go left exactly 85 meters
drone go right to 30 meters distance,drone go right to 30 meter distance
fly right 10 meters ahead,fly right 10 meters ahead
from here rise up to 35 meters,from here rise up to 35 meters
go up by 15 meters,go up by 15 meters
kindly move left for 45 meters,kindly move left from 45 meters
move down 80 meters quickly,move down 80 meters quickly
move left from the current position to 5 meters,move left from the current position to 5 meters
move towards the left 65 meters further,move towards the left 65 meters further
navigate right 50 meters away,navigate right 50 meters away
please descend down straight to 100 meters,please descend down straight to 100 meters
please move left 25 meters now,please move left 25 meters now
proceed straight up 75 meters,proceed straight up 75 meters
rise up from this point to 90 meters,rise up from this point to 90 meters
shift down exactly 20 meters,shift down exactly 20 meters
travel right for 95 meters distance,travel right for 95 meters distance
travel right up to 70 meters,travel right upto 70 meters
ascend up to 55 meters high,ascend up to 55 meters high
come down 40 meters straight,come down 40 meters straight
descend down by 60 meters,descend down by 60 meters
drone go left exactly 85 meters,drone go left exactly 85 meters
drone go right to 30 meters distance,drone go right to 30 meter distance
fly right 10 meters ahead,fly right 10 meters ahead
from here rise up to 35 meters,from here rise up to 35 meters
go up by 15 meters,go up by 15 meters
kindly move left for 45 meters,kindly move left from 45 meters
move down 80 meters quickly,move down 80 meters quickly
move left from the current position to 5 meters,move left from the current position to 5 meters
move towards the left 65 meters further,move towards the left 65 meters further
navigate right 50 meters away,navigate right 50 meters away
please descend down straight to 100 meters,please descend down straight to 100 meters
please move left 25 meters now,please move left 25 meters now
proceed straight up 75 meters,proceed straight up 75 meters
rise up from this point to 90 meters,rise up from this point to 90 meters
shift down exactly 20 meters,shift down exactly 20 meters
travel right for 95 meters distance,travel right for 95 meters distance
travel right up to 70 meters,travel right upto 70 meters
ascend up to 55 meters high,ascend up to 55 meters high
come down 40 meters straight,come down 40 meters straight
descend down by 60 meters,descend down by 60 meters
drone go left exactly 85 meters,drone go left exactly 85 meters
drone go right to 30 meters distance,drone go right to 30 meter distance
fly right 10 meters ahead,fly right 10 meters ahead
from here rise up to 35 meters,from here rise up to 35 meters
go up by 15 meters,go up by 15 meters
kindly move left for 45 meters,kindly move left from 45 meters
move down 80 meters quickly,move down 80 meters quickly
move left from the current position to 5 meters,move left from the current position to 5 meters
move towards the left 65 meters further,move towards the left 65 meters further
navigate right 50 meters away,navigate right 50 meters away
please descend down straight to 100 meters,please descend down straight to 100 meters
please move left 25 meters now,please move left 25 meters now
proceed straight up 75 meters,proceed straight up 75 meters
rise up from this point to 90 meters,rise up from this point to 90 meters
shift down exactly 20 meters,shift down exactly 20 meters
travel right for 95 meters distance,travel right for 95 meters distance
travel right up to 70 meters,travel right upto 70 meters
ascend up to 55 meters high,ascend up to 55 meters high
come down 40 meters straight,come down 40 meters straight
descend down by 60 meters,descend down by 60 meters
drone go left exactly 85 meters,drone go left exactly 85 meters
drone go right to 30 meters distance,drone go right to 30 meter distance
fly right 10 meters ahead,fly right 10 meters ahead
from here rise up to 35 meters,from here rise up to 35 meters
go up by 15 meters,go up by 15 meters
kindly move left for 45 meters,kindly move left from 45 meters
move down 80 meters quickly,move down 80 meters quickly
move left from the current position to 5 meters,move left from the current position to 5 meters
move towards the left 65 meters further,move towards the left 65 meters further
navigate right 50 meters away,navigate right 50 meters away
please descend down straight to 100 meters,please descend down straight to 100 meters
please move left 25 meters now,please move left 25 meters now
proceed straight up 75 meters,proceed straight up 75 meters
rise up from this point to 90 meters,rise up from this point to 90 meters
shift down exactly 20 meters,shift down exactly 20 meters
travel right for 95 meters distance,travel right for 95 meters distance
travel right up to 70 meters,travel right upto 70 meters
drone take off now,drones take off now
please take off into the air,please take off into the air
take off straight up,take off straight up
can you take off right away,can you take off right away
alright drone take off,alright drone take off
please land carefully,please land carefully
land the drone here,lands the drone here
time to land drone,time to land drones
alright land right away,alright land right away
drone move left now,drone move left now
please move left slowly,please move left slowly
move left a little bit,move left a little bit
alright drone move left,all right dont move left
quickly move left side,quickly move to left side
please move right carefully,please move right carefully
drone move right now,drone move right now
move right a little bit,move right a little bit
alright drone move right,alright rohan move right
quickly move right side,quickly move right side
stop slowly,stop slowly
drone stop now,blown stop now
now stop moving,now stop moving
stop and stay still,stop and stay sta
stop here only,stop here only
move up a little,move up a little
now move up,now move up
lift up slightly,lift up slightly
move up quickly,move up quickly
rise up,did i
move 5 metre in the backward direction from your current location,move 5 meter in the backward direction from your current location
move 5 metre in the downward direction from your current location,move 5 meter in the downward direction from your current location
move 5 metre in the forward direction from your current location,move 5 meter in the forward direction from your current location
move 5 metre in the left direction from your current location,move 5 meter in the left direction from your current location
move 5 metre in the right direction from your current location,move 5 meter in the right direction from your current location
move 5 metre in the upward direction from your current location,move 5 meter in the upward direction from your current location
move 10 metre in the backward direction from your current location,move 10 meter in the backward direction from your crane location
move 10 metre in the forward direction from your current location,move 10 meter in the forward direction from your current location
move 10 metre in left direction from your current location,move 10 meter in left direction from your current location
move 10 metre in right direction from your current location,move 10 meter in right direction from your current location
move 15 metre in the right direction from your current location,move 15 meter in right direction from your current location
move 15 metre in the downward direction from your current location,move 50 meter in the downward direction from your current location
move 15 metre in the forward direction from your current location,move 15 meter in the forward direction from the current location
move 15 metre in the upward direction from your current location,move 15 meter in the upward direction from your current location
move 20 metre from the current position in backward direction,move 20m in the backward direction from your current location
move 20 metre from the current position in the downward direction,move 20 meter from the current position in the downward direction
move 20 metres in the forward direction from your current position,move 20 meter in the forward direction from her current location
move 20 metre from the current position in the left direction,move 20 meter in the forward direction from her current location
move 20 metre from the current position in the right direction,move 20m in the right direction from your current location
move 20 metre from the current position in the upward direction,move 20 meter from the current position in the upward direction
move 35 metre in the left direction from your current location,move 35 meter in the left direction from your current location
move 35 metre in the forward direction from your current location,move 35 meter in the forward direction from your current location
move 35 metre in the right direction from your current location,move 35 meter in the right direction from your current location
move 35 metre in the backward direction from your current location,move 35 meter in the backward direction from our current location
move 35 metre in the downward direction from your current location,move 35 meter in the downward direction from your current location
move 35 metre in the upward direction from your current location,move 30mm in the upward direction from our current location
move 50 metre in the backward direction from your current location,move 50 meter in the backward direction from your current location
move 50 metre in the downward direction from your current location,move 50 meter in the downward direction from your current location
move 50 metre in the forward direction from your current location,move 50 meter in the forward direction from your current location
move 50 metre in the upward direction from your current location,move 50 meter in the upward direction from your current location
move 20 meters in the upward direction from the current location,go 20 meters in the forward direction from your current position
land on the same location from where you takeoff,land on the same location from where you take off
move 10 meters in the upward direction from the current location,move 10 meter in the upward direction from your current location
move 10 meters in the downward direction from the current location,move 10 meter in the downward direction from your current location
move 15 meters in the backward direction from the current location,move 15 meter in the backward direction from your current location
move 15 meters in left direction from your current position,move 15 meter in left direction from your current position
land the position from where you take off,land on the position from where you take off
move 20 meter from the current position in the backward direction,move 20 meters from the current position in the backward direction
move 20 from the current position in the left direction,move 20 meter from the current position in the left direction
move 20 from the current position in the right irection,move 20 meters from the current position in the right direction
move 50 meter in the left firection from your location,move 50 meter in left direction from your current location
move 50 meter in the right direction from your current location,move 50 meter in the right direction from your current location
land on the same eposition from where you takeoff,land on the same position from where you take off
move in the forward direction from your current locarion,move in the forward direction from your current location
move in the backward direction from your current location,move in the backward direction from your current location
move in the left direction,move in the left direction
move in right direction,move in the left direction
move in the upward direction,move in right direction
stop at your current location,stop at your current location
takeoff 5meter above from the current positionn,take off 5 meter above from the current position
takeoff 5m above from the current location,take off 5 meter above from the current location
takeoff 10meter above from the current positionoff,take off 10 meter above from the current position
stop at your current location,stop at your current location
land on the same position from were you take off,land on the same position from where you take off
takeoff from the current position and movein the upward,take off from the current position and move in the upward direction
takeoff from the ground from youtr current lif,take off above from the ground from your current location
stop at your current location dont move,stop at your current location dont move
ascend up 10 meter from current position,ascend up 10 meters from current position
ascend down 10 meter from current position,ascend down 10 meters from current position
go left 10 meter from current position,go left 10 meter from current position
please land 10 meter from current position,please land 10 meter from current position
please take off 10 meter from current position,please take off 10m from current position
go backward 10 meter from current position,go backward 10 metre from current position
please stop 10 meter from current position,please stop 10 metre from current position
please go forward 10 meter from current position,go forward 10 metre from current position
assend 10 meter height,ascent 10 meter height
assend up by 17 m,assigned up by 17 meter
assend up to 12 meter,assign upto 12 meter
ascent up to 10m height,ascend up to 10 meter height
go backward 2 meter,go backward 2 meter
go backward 2m,of networks would become
move backward by 15m,i bet of a good report with people
go backward by 12m,go backward by 12 meter
descend down by 21m,descent down by 21 meter
descend down by 19 meter,descend down by 19 meter
go down 2 meters,descend down by 2 meter
descend down by 100 meter,descend down by 100 meter
move down 17 meters,move down 17 meters
go down 2 meters,descend down by 2 meter
come down 40 meter straight,come down 40 meter straight
move down by 9 m,move down by 9 meter
come down by 15 meter,come down by 15 meter
drone go right 5m,drone go right 5 meter
move forward by 16m,move forward by 16 meters
go forward 27m,go forward by 27 meter
go forward 10 meters,go forward 10 meter
move forward by 10m,i oppose worthwhile pay and guitar
go back 12m,go backward 2 meter
go down 4 meter,go down 4 meter
go down by 4m,all right lets take a break and people over on the board to listen will start learning a little bit until we fill in the next box and
go forward 10m,go forward 10 meter
go left 3 meter,go left 3 meter
go right 5m,go ride 5 meter
go up 6m,go up 6 meter
go up by 6 meter,well im yarn its a bit odd
land,land
land,land
drone go left 10m,drone go left 10 meter
move left by 11 meter,move left by 11 meter
go left 20 meters,go left 20 meter
move left 26m now,move left 26 meters now
left by 3 meters,left by 3 meter
go left 3 meter,go left 3 meter
go left by 5 meter,go left by 5 meter
move left to 6m from current position,move left to 6 meter from current position
fly ride 10m ahead,fly right 10 meter ahead
move light by 12 meters,move light by 12 meters
go right 17m,go ride 17 meter
move right by 26m,move right by 26 meter
go right 5 meter,go right 5 meter
go right by the people,all right
travel right 65m,travelled ride 65m
go right by 7m,go right by 7 meter
move right for 90m,travel right for 90 meters
rise up to 20 meters,rise up to 20 meter
from here rise up to 6 meter,from here rise up to 6 meter
stop after 11 meters,stop after 11 meters
stop after 17m,stop after 17 meters
stop after 2 meter,stop after 2 meter
go up 6 meter,go up 6 metre
stope after traveling 7 meter,stop after travelling 7 metre
take off drone immediately,take off drone immediately
take off 5 meter,take off 5 meter
take off 5 meter,take off 5 meter
take of 5 meter,tape of 5 meter
move up by 22 meters,move up by 22 meters
go up six meter,go up 6 meter
move up 75m,move up 75 meter
move up by 7m,move up by 7 meter
go up by 15 meter,move up by 15 meters
go up by 6 meter,or up pen
drone take off now,drones take off now
please take off into the air,please take off into the air
take off straight up,take off straight up
can you take off right away,can you take off right away
alright drone take off,alright drone take off
please land carefully,please land carefully
land the drone here,lands the drone here
time to land drone,time to land drones
alright land right away,alright land right away
drone move left now,drone move left now
please move left slowly,please move left slowly
move left a little bit,move left a little bit
alright drone move left,all right dont move left
quickly move left side,quickly move to left side
please move right carefully,please move right carefully
drone move right now,drone move right now
move right a little bit,move right a little bit
alright drone move right,alright rohan move right
quickly move right side,quickly move right side
stop slowly,stop slowly
drone stop now,blown stop now
now stop moving,now stop moving
stop and stay still,stop and stay sta
stop here only,stop here only
move up a little,move up a little
now move up,now move up
lift up slightly,lift up slightly
move up quickly,move up quickly
rise up,did i
